asset_class,market,sector,ticker,ref_date,value,unit,data_type
Equity,China_A,Broad_Market_Index,000001.SH,2026-01-05,4023.42,Index_Level,Equity
Equity,China_A,Broad_Market_Index,000001.SH,2026-04-03,3880.10,Index_Level,Equity
Equity,China_A,Broad_Market_Index,399001.SZ,2026-01-05,13828.63,Index_Level,Equity
Equity,China_A,Broad_Market_Index,399001.SZ,2026-04-03,13352.90,Index_Level,Equity
Equity,China_A,Growth_Style_Index,399006.SZ,2026-01-05,3294.55,Index_Level,Equity
Equity,China_A,Growth_Style_Index,399006.SZ,2026-04-03,3149.60,Index_Level,Equity
